date,open,high,low,close,volume
2021-09-23,7.77,7.78,7.37,7.42,229779.3
2021-09-22,7.32,7.87,7.18,7.78,297517.69
2021-09-17,7.35,7.65,7.25,7.5,272561.31
2021-09-16,7.79,7.9,7.37,7.41,457461.25
2021-09-15,6.87,7.66,6.86,7.66,200344.98
2021-09-14,6.91,7.3,6.7,6.96,249562.77
2021-09-13,6.72,6.9,6.67,6.85,139979.91
2021-09-10,7.02,7.05,6.71,6.74,163505.53
2021-09-09,7.09,7.13,6.93,6.98,154588.2
2021-09-08,6.77,7.26,6.75,7.09,303102.59
2021-09-07,6.7,6.96,6.55,6.88,340809.53
2021-09-06,6.41,6.58,6.24,6.47,137431.14
2021-09-03,6.55,6.62,6.44,6.45,143831.02
2021-09-02,6.32,6.62,6.14,6.58,262119.8
2021-09-01,6.1,6.7,6.06,6.51,318044.94
2021-08-31,5.98,6.09,5.82,6.09,115304.38
2021-08-30,6.0,6.11,5.91,5.96,143224.44
2021-08-27,6.25,6.34,6.05,6.05,253222.59
2021-08-26,6.55,6.8,6.51,6.72,124899.01
2021-08-25,6.41,6.6,6.34,6.55,87842.42
2021-08-24,6.35,6.48,6.3,6.43,74433.01
2021-08-23,6.14,6.38,6.11,6.35,72303.04
2021-08-20,6.16,6.16,5.98,6.14,54790.0
2021-08-19,6.31,6.31,6.07,6.16,62506.0
2021-08-18,6.24,6.38,6.22,6.31,74172.52
2021-08-17,6.47,6.53,6.22,6.26,99534.01
2021-08-16,6.64,6.65,6.4,6.51,129311.21
2021-08-13,6.18,6.66,6.17,6.62,184737.16
2021-08-12,6.2,6.25,6.16,6.2,61177.0
2021-08-11,6.16,6.25,6.13,6.22,85514.5
2021-08-10,5.98,6.18,5.96,6.14,96135.0
2021-08-09,5.81,6.1,5.79,5.98,85864.0
2021-08-06,5.78,5.85,5.72,5.85,49130.0
2021-08-05,5.96,6.01,5.73,5.79,80098.94
2021-08-04,5.99,6.04,5.91,5.96,57679.0
2021-08-03,5.96,6.11,5.94,5.97,90421.62
2021-08-02,5.74,6.07,5.7,6.04,95294.37
2021-07-30,5.72,5.88,5.7,5.8,96528.0
2021-07-29,5.73,5.8,5.66,5.74,78000.7
2021-07-28,6.0,6.06,5.6,5.66,115650.02
2021-07-27,6.25,6.32,6.03,6.07,78900.68
2021-07-26,6.35,6.45,6.14,6.23,89164.97
2021-07-23,6.68,6.68,6.3,6.35,153114.0
2021-07-22,6.51,6.71,6.46,6.68,135843.38
2021-07-21,6.47,6.63,6.45,6.5,80175.37
2021-07-20,6.51,6.55,6.35,6.48,85526.0
2021-07-19,6.78,6.83,6.52,6.6,119502.0
2021-07-16,6.48,6.93,6.41,6.73,189763.59
2021-07-15,6.69,6.85,6.44,6.48,185875.0
2021-07-14,6.91,6.97,6.73,6.74,139778.14
2021-07-13,6.99,6.99,6.71,6.91,184663.72
2021-07-12,7.29,7.34,7.06,7.07,248630.66
2021-07-09,7.01,7.31,6.93,7.27,247819.69
2021-07-08,7.1,7.23,6.8,7.09,241786.09
2021-07-07,6.98,7.25,6.91,7.07,225005.0
2021-07-06,7.1,7.13,6.81,7.09,188635.69
2021-07-05,6.89,7.15,6.75,7.1,239330.39
2021-07-02,6.93,7.07,6.78,6.86,185218.11
2021-07-01,7.02,7.21,6.82,6.86,261925.06
2021-06-30,7.05,7.24,6.96,7.01,292103.31
2021-06-29,6.85,7.35,6.73,7.15,436366.44
2021-06-28,6.96,7.15,6.69,6.78,439623.88
2021-06-25,6.12,6.72,6.12,6.72,187570.23
2021-06-24,6.1,6.24,6.03,6.11,111405.01
2021-06-23,6.13,6.17,6.03,6.1,112485.02
2021-06-22,6.13,6.32,6.08,6.13,138791.0
2021-06-21,6.08,6.16,6.05,6.11,101275.24
2021-06-18,6.08,6.25,6.02,6.09,138548.88
2021-06-17,6.01,6.18,5.96,6.06,132367.0
2021-06-16,6.36,6.42,6.01,6.02,173053.55
2021-06-15,6.58,6.64,6.36,6.39,184075.0
2021-06-11,6.76,6.83,6.65,6.65,206188.0
2021-06-10,6.79,7.03,6.62,6.74,461443.5
2021-06-09,6.19,6.81,6.06,6.81,429115.22
2021-06-08,6.5,6.56,6.15,6.19,207492.7
2021-06-07,6.41,6.65,6.35,6.57,214475.03
2021-06-04,6.42,6.47,6.31,6.41,183620.84
2021-06-03,6.23,6.6,6.12,6.53,320105.25
2021-06-02,6.18,6.73,6.14,6.33,338599.03
2021-06-01,5.92,6.26,5.83,6.26,295540.62
2021-05-31,5.97,5.98,5.78,5.95,159792.05
2021-05-28,6.15,6.19,5.93,5.95,214785.0
2021-05-27,6.12,6.28,6.12,6.21,156923.03
2021-05-26,6.16,6.43,6.13,6.2,266692.81
