date,open,high,low,close,volume
2021-09-23,79.3,80.22,78.39,78.98,73907.3
2021-09-22,80.36,80.36,78.22,79.2,70175.47
2021-09-17,80.6,82.66,78.3,81.94,68311.65
2021-09-16,82.4,83.5,79.2,80.5,86861.6
2021-09-15,85.0,85.23,81.8,82.4,78818.25
2021-09-14,87.05,87.39,85.39,85.77,47080.57
2021-09-13,87.0,89.0,86.1,86.51,46394.99
2021-09-10,87.89,89.55,87.01,87.6,50230.7
2021-09-09,87.99,88.8,87.4,88.0,35097.43
2021-09-08,90.0,90.0,87.88,88.5,47106.89
2021-09-07,89.79,90.58,88.24,89.69,52788.23
2021-09-06,85.97,92.2,85.0,90.2,103544.18
2021-09-03,85.23,86.97,83.75,86.16,63357.88
2021-09-02,86.66,89.83,85.21,86.03,74463.56
2021-09-01,86.35,89.02,83.51,87.09,94433.58
2021-08-31,85.42,88.26,84.56,86.32,81609.82
2021-08-30,88.88,88.88,83.34,84.55,91754.0
2021-08-27,89.73,92.55,87.71,87.95,81972.86
2021-08-26,90.28,92.87,88.88,89.69,65473.82
2021-08-25,89.09,91.15,87.8,89.12,63121.55
2021-08-24,86.64,91.4,86.01,89.7,75048.43
2021-08-23,85.4,87.89,85.04,86.7,60725.59
2021-08-20,88.98,89.88,84.17,85.48,84572.92
2021-08-19,93.6,96.5,88.58,90.3,145502.19
2021-08-18,86.86,95.57,86.65,95.57,165202.98
2021-08-17,88.9,89.38,86.6,86.88,56143.17
2021-08-16,86.5,89.56,86.29,88.67,56384.57
2021-08-13,86.5,87.59,85.8,86.98,41063.91
2021-08-12,86.68,88.12,85.7,86.55,50946.25
2021-08-11,89.86,90.08,86.72,87.19,78508.78
2021-08-10,86.5,90.29,86.03,89.69,143434.05
2021-08-09,82.95,88.69,82.95,87.2,128868.6
2021-08-06,83.71,83.79,81.6,82.08,62866.66
2021-08-05,82.94,86.0,82.28,83.96,74579.9
2021-08-04,86.9,88.3,83.98,84.53,98673.54
2021-08-03,83.64,88.88,81.05,86.9,174285.94
2021-08-02,79.0,84.64,77.31,83.68,174702.2
2021-07-30,86.5,86.5,80.0,80.28,154139.75
2021-07-29,92.02,92.5,86.74,88.0,100427.26
2021-07-28,86.86,90.69,86.38,90.44,83795.78
2021-07-27,92.23,95.79,90.03,90.07,78720.35
2021-07-26,96.0,96.0,90.69,92.72,112008.87
2021-07-23,98.88,99.34,96.38,97.08,59093.36
2021-07-22,101.3,101.6,99.2,99.34,75471.99
2021-07-21,101.4,103.01,100.5,101.78,74613.76
2021-07-20,98.31,102.92,98.31,101.8,78498.59
2021-07-19,98.0,100.4,96.36,99.75,86519.09
2021-07-16,101.08,101.61,97.4,98.41,105465.58
2021-07-15,98.18,103.55,97.08,101.61,102730.64
2021-07-14,99.34,99.34,96.42,98.14,71859.14
2021-07-13,97.34,101.37,96.67,99.99,97979.07
2021-07-12,96.65,97.63,92.69,97.34,145846.48
2021-07-09,99.49,99.95,94.64,96.65,121204.65
2021-07-08,106.27,106.27,98.14,99.48,133268.59
2021-07-07,105.21,107.0,103.0,106.48,59147.91
