date,open,high,low,close,volume
2021-09-23,6.72,6.89,6.68,6.77,1137863.88
2021-09-22,6.5,6.68,6.45,6.61,906279.31
2021-09-17,6.8,6.89,6.56,6.69,1276758.5
2021-09-16,6.85,7.11,6.8,6.81,1579191.38
2021-09-15,6.88,7.03,6.83,6.85,1217068.88
2021-09-14,7.05,7.09,6.82,6.88,1838523.0
2021-09-13,7.06,7.28,6.97,7.05,2040332.88
2021-09-10,6.9,7.37,6.81,7.12,3239125.0
2021-09-09,6.44,7.07,6.43,6.94,3274263.5
2021-09-08,6.34,6.58,6.24,6.54,2045817.88
2021-09-07,6.19,6.3,6.1,6.29,1370196.12
2021-09-06,6.1,6.17,6.02,6.16,1055985.75
2021-09-03,6.05,6.18,6.02,6.09,1245612.12
2021-09-02,6.02,6.13,5.94,6.04,1154314.0
2021-09-01,6.08,6.19,6.02,6.09,1114634.5
2021-08-31,6.07,6.14,5.92,6.08,1213310.88
2021-08-30,6.24,6.32,6.07,6.11,1503317.5
2021-08-27,6.3,6.45,6.23,6.27,1308972.88
2021-08-26,6.59,6.59,6.32,6.34,1541872.62
2021-08-25,6.62,6.73,6.53,6.64,1190989.12
2021-08-24,6.68,6.72,6.46,6.65,1963981.25
2021-08-23,6.74,7.04,6.62,6.79,2747295.0
2021-08-20,6.26,6.89,6.21,6.73,3013530.0
2021-08-19,6.54,6.55,6.21,6.3,1888641.0
2021-08-18,6.33,6.73,6.16,6.53,3138313.75
2021-08-17,6.54,6.61,6.16,6.2,3786680.5
2021-08-16,5.85,6.48,5.85,6.48,2637855.5
2021-08-13,6.01,6.18,5.88,5.89,1697829.88
2021-08-12,5.98,6.02,5.91,5.96,833753.19
2021-08-11,6.02,6.1,5.95,5.97,1093700.75
2021-08-10,6.01,6.1,5.94,6.04,1220265.25
2021-08-09,5.8,6.25,5.8,6.0,1977294.88
2021-08-06,5.74,5.89,5.73,5.86,951243.94
2021-08-05,5.93,6.05,5.76,5.78,1403788.62
2021-08-04,5.92,5.98,5.87,5.95,951279.19
2021-08-03,5.99,6.13,5.88,5.93,1652012.38
2021-08-02,5.84,6.05,5.69,5.98,1879036.88
2021-07-30,5.79,6.02,5.72,5.85,1791101.38
2021-07-29,5.8,5.89,5.76,5.81,1267489.88
2021-07-28,5.91,5.96,5.69,5.76,1427628.12
2021-07-27,6.15,6.18,5.89,5.93,1351946.12
2021-07-26,6.26,6.36,6.0,6.12,1557157.25
2021-07-23,6.41,6.51,6.18,6.19,1806017.25
2021-07-22,6.54,6.6,6.38,6.4,1438995.25
